id,last,first,bat,throw,team,g,g_p,g_sp,g_rp,g_c,g_1b,g_2b,g_3b,g_ss,g_lf,g_cf,g_rf,g_of,g_dh,g_ph,g_pr,first_g,last_g,season
bellw103,Bell,William,?,?,PHG,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,19030912,19030918,1903
bingw102,Binga,William,?,?,PHG,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,19030912,19030925,1903
buckh101,Buckner,Harry,R,R,PHG,7,1,1,0,0,0,0,0,0,0,0,6,6,0,0,0,19030912,19030925,1903
cartk101,Carter,Kid,?,L,PHG,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,19030914,19030925,1903
evanh101,Evans,Herm,?,?,PHG,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,19030912,19030925,1903
footr101,Footes,Robert,?,?,PHG,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,19030912,19030925,1903
fostr105,Foster,Rube,R,R,CUX,5,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,19030912,19030925,1903
granc101,Grant,Charlie,R,R,CUX,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,19030912,19030925,1903
granf101,Grant,Frank,R,R,PHG,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,19030912,19030925,1903
hillj106,Hill,Johnny,R,R,CUX,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,19030912,19030925,1903
jackw103,Jackson,Will,?,L,CUX,7,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,19030912,19030925,1903
johng103,Johnson,Grant,R,R,CUX,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,19030912,19030925,1903
jordb102,Jordan,Bob,?,?,CUX,7,0,0,0,0,6,0,0,0,0,1,0,1,0,0,0,19030912,19030925,1903
mannj105,Manning,John,?,?,PHG,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,19030915,19030925,1903
mccld101,McClellan,Danny,L,L,CUX,5,3,3,0,0,0,0,0,0,0,0,2,2,0,0,0,19030913,19030925,1903
monrb102,Monroe,Bill,R,R,PHG,3,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,19030912,19030914,1903
nelsj103,Nelson,John,?,?,PHG,7,0,0,0,0,3,0,0,0,0,4,0,4,0,0,0,19030912,19030925,1903
pattj102,Patterson,John,?,R,PHG,7,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,19030912,19030925,1903
payna101,Payne,Andrew,R,R,CUX,6,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,19030912,19030918,1903
smitb115,Smith,Big Bill,?,?,CUX,5,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,19030912,19030915,1903
warrw101,Warrick,William,?,?,PHG,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,19030913,19030913,1903
whits105,White,Sol,R,R,PHG,7,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,19030912,19030925,1903
willc112,Williams,Clarence,R,R,CUX,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,19030912,19030925,1903
wilsr103,Wilson,Ray,R,R,CUX,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,19030915,19030925,1903
ballw102,Ball,Walter,R,R,CUX,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19040901,19040901,1904
bellw103,Bell,William,?,?,PHG,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,19040903,19040903,1904
brokf101,Brokaw,Fred,?,?,CUX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1904
buckh101,Buckner,Harry,R,R,CUX,3,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,19040901,19040903,1904
cartk101,Carter,Kid,?,L,PHG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19040902,19040902,1904
footr101,Footes,Robert,?,?,PHG,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,19040901,19040902,1904
fostr105,Foster,Rube,R,R,PHG,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,19040901,19040903,1904
granc101,Grant,Charlie,R,R,PHG,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,19040901,19040903,1904
hillj106,Hill,Johnny,R,R,PHG,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,19040901,19040903,1904
hillp102,Hill,Pete,L,R,PHG,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,19040901,19040903,1904
hornw101,Horn,Will,R,R,PHG,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19040902,19040902,1904
jackw103,Jackson,Will,?,L,CUX,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,19040901,19040903,1904
johnc109,Johnson,Chappie,R,R,PHG,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,19040901,19040903,1904
johng103,Johnson,Grant,R,R,CUX,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,19040901,19040903,1904
jordb102,Jordan,Bob,?,?,CUX,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,19040901,19040903,1904
mccld101,McClellan,Danny,L,L,CUX,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,19040901,19040903,1904
monrb102,Monroe,Bill,R,R,PHG,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,19040901,19040903,1904
moorh102,Moore,Harry,R,R,CUX,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,19040901,19040903,1904
pattj102,Patterson,John,?,R,CUX,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,19040901,19040903,1904
payna101,Payne,Andrew,R,R,PHG,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,19040901,19040903,1904
robij105,Robinson,James,?,?,CUX,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19040903,19040903,1904
smitb115,Smith,Big Bill,?,?,CUX,3,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,19040901,19040903,1904
smitj117,Smith,Jimmy,?,R,CUX,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,19040902,19040903,1904
whits105,White,Sol,R,R,PHG,3,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,19040901,19040903,1904
willc112,Williams,Clarence,R,R,CUX,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,19040901,19040903,1904
wilsr103,Wilson,Ray,R,R,CUX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1904
bookp101,Booker,Pete,R,R,NYL,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19120824,19120824,1912
bustl101,Bustamante,Luis,R,R,CUW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1912
chacp101,Chacon,Pelayo,R,R,CUW,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19120824,19120824,1912
dunba101,Dunbar,Ashby,?,?,NYL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1912
figar101,Figarola,Rafael,R,R,CUW,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19120824,19120824,1912
franb101,Francis,Bill,R,R,NYL,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19120824,19120824,1912
gansj101,Gans,Judy,L,L,NYL,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,19120824,19120824,1912
garcr103,Garcia,Regino,R,R,CUW,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19120824,19120824,1912
gonzl101,Gonzalez,Luis,R,R,CUW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1912
granl101,Grant,Leroy,R,R,NYL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19120824,19120824,1912
hidah101,Hidalgo,Heliodoro,R,R,CUW,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,19120824,19120824,1912
juncj101,Junco,Jose,?,L,CUW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1912
lloyj101,Lloyd,John Henry,L,R,NYL,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19120824,19120824,1912
magrj101,Magrinat,Jose,L,L,CUW,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,19120824,19120824,1912
mantu101,Mantell,,?,?,NYL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1912
mendj101,Mendez,Jose,R,R,CUW,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19120824,19120824,1912
moore104,Moore,Eugene,?,?,NYL,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,19120824,19120824,1912
morac104,Moran,Carlos,L,L,CUW,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19120824,19120824,1912
pedre101,Pedroso,Eustaquio,R,R,CUW,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,19120824,19120824,1912
pettb102,Pettus,Bill,L,R,NYL,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19120824,19120824,1912
