gid,id,team,p_seq,stattype,p_ipouts,p_noout,p_bfp,p_h,p_d,p_t,p_hr,p_r,p_er,p_w,p_iw,p_k,p_hbp,p_wp,p_bk,p_sh,p_sf,p_sb,p_cs,p_pb,wp,lp,save,p_gs,p_gf,p_cg,date,number,site,vishome,opp,win,loss,tie,gametype,box,pbp
PHG190309120,fostr105,CUX,1,value,27,0,34,6,1,1,0,2,1,3,0,6,0,0,0,0,0,1,2,0,1,,,1,,1,19030912,0,PHI10,v,PHG,1,0,0,championship,y,d
PHG190309120,bellw103,PHG,1,value,27,0,40,10,2,0,0,4,1,0,0,1,0,0,0,1,0,0,0,0,,1,,1,,1,19030912,0,PHI10,h,CUX,0,1,0,championship,y,d
CUX190309131,buckh101,PHG,1,value,24,,40,15,3,0,0,8,8,1,,1,0,0,0,0,,,,,,1,,1,,1,19030913,1,NYC18,v,CUX,0,1,0,championship,y,
CUX190309131,mccld101,CUX,1,value,27,,29,2,0,1,0,1,1,1,,1,0,0,0,0,,,,,1,,,1,,1,19030913,1,NYC18,h,PHG,1,0,0,championship,y,
PHG190309132,mccld101,CUX,1,value,24,,35,9,0,0,0,5,,2,,4,0,0,0,0,,,,,,1,,1,,1,19030913,2,NYC18,v,PHG,0,1,0,championship,y,
PHG190309132,bellw103,PHG,1,value,27,,37,7,0,0,0,2,,3,,1,0,0,0,0,,,,,1,,,1,,1,19030913,2,NYC18,h,CUX,1,0,0,championship,y,
CUX190309140,cartk101,PHG,1,value,24,0,35,5,2,0,0,3,1,0,0,3,0,1,0,2,1,0,0,0,,1,,1,,1,19030914,0,TRE02,v,CUX,0,1,0,championship,y,d
CUX190309140,fostr105,CUX,1,value,27,0,34,3,1,0,0,1,1,2,0,3,1,0,1,1,0,1,0,0,1,,,1,,1,19030914,0,TRE02,h,PHG,1,0,0,championship,y,d
PHG190309150,mccld101,CUX,1,value,24,0,36,6,2,0,0,3,1,4,0,8,0,0,0,0,0,0,0,0,,1,,1,,1,19030915,0,CAM02,v,PHG,0,1,0,championship,y,d
PHG190309150,cartk101,PHG,1,value,27,0,33,5,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,,,1,,1,19030915,0,CAM02,h,CUX,1,0,0,championship,y,d
CUX190309180,bellw103,PHG,1,value,15,0,28,8,0,1,0,7,3,2,0,2,1,1,0,1,0,0,2,1,,1,,1,,,19030918,0,HRB01,v,CUX,0,1,0,championship,y,d
CUX190309180,cartk101,PHG,2,value,9,0,19,8,0,0,0,5,3,1,0,1,0,0,0,0,0,0,0,0,,,,,1,,19030918,0,HRB01,v,CUX,0,1,0,championship,y,d
CUX190309180,fostr105,CUX,1,value,27,0,34,7,0,0,0,3,0,1,0,5,0,0,0,0,0,3,0,1,1,,,1,,1,19030918,0,HRB01,h,PHG,1,0,0,championship,y,d
PHG190309250,fostr105,CUX,1,value,27,0,35,3,1,0,0,0,0,4,0,7,0,0,0,0,0,1,0,1,1,,,1,,1,19030925,0,CAM02,v,PHG,1,0,0,championship,y,d
PHG190309250,cartk101,PHG,1,value,27,0,34,5,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,,1,,1,,1,19030925,0,CAM02,h,CUX,0,1,0,championship,y,d
CUX190409010,fostr105,PHG,1,value,27,,36,7,,,2,4,,5,,18,0,0,0,0,,,,,1,,,1,,1,19040901,0,ACY01,v,CUX,1,0,0,championship,y,
CUX190409010,mccld101,CUX,1,value,12,,21,6,,,1,5,,0,,2,1,0,0,1,,,,,,1,,1,,,19040901,0,ACY01,h,PHG,0,1,0,championship,y,
CUX190409010,ballw102,CUX,2,value,15,,23,4,,,0,3,,2,,2,0,0,0,1,,,,,,,,,1,,19040901,0,ACY01,h,PHG,0,1,0,championship,y,
CUX190409020,hornw101,PHG,1,value,18,,27,5,,,0,3,1,3,,4,0,0,0,0,,,,,,1,,1,,,19040902,0,ACY01,v,CUX,0,1,0,championship,y,
CUX190409020,fostr105,PHG,2,value,6,,6,0,,,0,0,0,0,,0,0,0,0,0,,,,,,,,,1,,19040902,0,ACY01,v,CUX,0,1,0,championship,y,
CUX190409020,buckh101,CUX,1,value,27,,35,6,,,0,1,1,2,,4,0,0,0,0,,,,,1,,,1,,1,19040902,0,ACY01,h,PHG,1,0,0,championship,y,
CUX190409030,fostr105,PHG,1,value,27,,33,2,,,1,2,1,1,,5,3,0,0,0,,,,,1,,,1,,1,19040903,0,ACY01,v,CUX,1,0,0,championship,y,
CUX190409030,mccld101,CUX,1,value,27,,34,6,,,0,4,2,1,,5,2,0,0,0,,,,,,1,,1,,1,19040903,0,ACY01,h,PHG,0,1,0,championship,y,
NYL191208240,mendj101,CUW,1,value,27,,36,6,1,0,0,1,1,1,,8,1,0,0,0,,,,,1,,,1,,1,19120824,0,NYC14,v,NYL,1,0,0,exhibition,y,
NYL191208240,willj109,NYL,1,value,27,,36,6,1,0,0,2,2,1,,4,0,0,0,2,,,,,,1,,1,,1,19120824,0,NYC14,h,CUW,0,1,0,exhibition,y,
NYL191307180,dougc102,CAG,1,value,24,,,15,,,,8,,,,,,,,,,,,,,1,,1,,1,19130718,0,NYC22,v,NYL,0,1,0,championship,,
NYL191307180,willj109,NYL,1,value,27,,,11,,,,3,,,,,,,,,,,,,1,,,1,,1,19130718,0,NYC22,h,CAG,1,0,0,championship,,
NYL191307190,dougc102,CAG,3,value,,,,,,,,,,,,,,,,,,,,,,,,,1,,19130719,0,NYC22,v,NYL,0,0,1,championship,,
NYL191307190,gateb101,CAG,2,value,,,,,,,,,,,,,,,,,,,,,,,,,,,19130719,0,NYC22,v,NYL,0,0,1,championship,,
NYL191307190,lindb103,CAG,1,value,,,,,,,,,,,,,,,,,,,,,,,,1,,,19130719,0,NYC22,v,NYL,0,0,1,championship,,
NYL191307190,reddd101,NYL,1,value,,,,,,,,,,,,,,,,,,,,,,,,1,,,19130719,0,NYC22,h,CAG,0,0,1,championship,,
NYL191307190,wadel101,NYL,2,value,,,,,,,,,,,,,,,,,,,,,,,,,1,,19130719,0,NYC22,h,CAG,0,0,1,championship,,
NYL191307201,lindb103,CAG,1,value,26,,40,10,,,1,5,5,4,,5,0,0,0,1,,,,,,1,,1,,1,19130720,1,NYC22,v,NYL,0,1,0,championship,y,
NYL191307201,willj109,NYL,1,value,27,,39,12,,,0,4,,1,,8,0,0,0,2,,,,,1,,,1,,1,19130720,1,NYC22,h,CAG,1,0,0,championship,y,
NYL191307202,johnd108,CAG,1,value,1,,4,0,,,0,0,0,2,,1,1,0,0,0,,,,,,,,1,,,19130720,2,NYC22,v,NYL,1,0,0,championship,y,
NYL191307202,dougc102,CAG,2,value,23,,32,11,,,0,5,,2,,4,2,0,0,2,,,,,1,,,,,,19130720,2,NYC22,v,NYL,1,0,0,championship,y,
NYL191307202,gateb101,CAG,3,value,3,,3,0,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1,,1,,19130720,2,NYC22,v,NYL,1,0,0,championship,y,
NYL191307202,wadel101,NYL,1,value,24,,35,13,,,2,4,4,2,,2,0,0,0,0,,,,,,,,1,,,19130720,2,NYC22,h,CAG,0,1,0,championship,y,
NYL191307202,willj109,NYL,2,value,3,,4,2,,,0,2,2,0,,0,0,0,0,0,,,,,,1,,,1,,19130720,2,NYC22,h,CAG,0,1,0,championship,y,
CAG191307270,willj109,NYL,1,value,27,0,30,6,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,1,,,1,,1,19130727,0,CHI09,v,CAG,1,0,0,championship,y,y
CAG191307270,lindb103,CAG,1,value,27,0,43,10,1,0,1,8,5,1,0,7,0,0,0,0,0,1,0,0,,1,,1,,1,19130727,0,CHI09,h,NYL,0,1,0,championship,y,y
CAG191307280,wadel101,NYL,1,value,27,0,34,7,0,0,0,1,0,1,0,1,0,0,0,1,0,2,0,0,1,,,1,,1,19130728,0,CHI09,v,CAG,1,0,0,championship,y,y
CAG191307280,gateb101,CAG,1,value,27,0,37,8,2,0,0,3,2,1,0,5,0,0,0,0,0,0,0,0,,1,,1,,1,19130728,0,CHI09,h,NYL,0,1,0,championship,y,y
CAG191307290,barts101,NYL,1,value,4,0,10,3,0,0,0,4,1,1,0,0,2,0,0,1,0,2,0,0,,,,1,,,19130729,0,CHI09,v,CAG,0,1,0,championship,y,y
CAG191307290,willj109,NYL,2,value,14,0,21,5,1,1,0,2,1,1,0,1,0,1,0,0,0,2,2,0,,,,,,,19130729,0,CHI09,v,CAG,0,1,0,championship,y,y
CAG191307290,reddd101,NYL,3,value,6,0,8,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,19130729,0,CHI09,v,CAG,0,1,0,championship,y,y
CAG191307290,wadel101,NYL,4,value,1,0,3,1,0,1,0,1,1,1,0,0,0,0,0,0,0,2,0,0,,1,,,1,,19130729,0,CHI09,v,CAG,0,1,0,championship,y,y
CAG191307290,craws102,CAG,1,value,25,0,40,10,3,0,0,6,5,5,0,2,1,0,0,1,0,1,1,0,,,,1,,,19130729,0,CHI09,h,NYL,1,0,0,championship,y,y
CAG191307290,lindb103,CAG,2,value,2,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,,,1,,19130729,0,CHI09,h,NYL,1,0,0,championship,y,y
CAG191307300,willj109,NYL,1,value,24,0,41,15,3,2,0,9,9,3,0,1,0,0,0,0,0,2,1,0,,1,,1,,1,19130730,0,CHI09,v,CAG,0,1,0,championship,y,y
CAG191307300,johnd108,CAG,1,value,1,0,6,4,1,0,0,4,4,2,0,0,0,0,0,0,0,0,1,0,,,,1,,,19130730,0,CHI09,h,NYL,1,0,0,championship,y,y
CAG191307300,gateb101,CAG,2,value,26,0,33,5,0,1,0,1,1,0,0,4,1,0,0,0,0,0,0,0,1,,,,1,,19130730,0,CHI09,h,NYL,1,0,0,championship,y,y
CAG191307310,wadel101,NYL,1,value,24,0,30,5,0,0,0,2,0,2,0,4,0,0,0,1,0,0,1,0,,1,,1,,1,19130731,0,CHI09,v,CAG,0,1,0,championship,y,y
CAG191307310,lindb103,CAG,1,value,27,0,34,5,0,0,0,1,0,2,1,7,0,0,0,2,0,1,0,0,1,,,1,,1,19130731,0,CHI09,h,NYL,1,0,0,championship,y,y
CAG191308022,willj109,NYL,1,value,27,,38,8,,,0,3,,3,,3,0,0,0,0,,,,,1,,,1,,1,19130802,2,CHI09,v,CAG,1,0,0,championship,y,
CAG191308022,gateb101,CAG,1,value,9,,20,7,,,0,5,,4,,0,0,0,0,0,,,,,,1,,1,,,19130802,2,CHI09,h,NYL,0,1,0,championship,y,
